,location,time,gdp,change
1051,ESP,2000-01-01,21524.482744,0.08078358525018992
1052,ESP,2001-01-01,23010.929206,0.06905840570846467
1053,ESP,2002-01-01,24367.754873,0.05896440143087367
1054,ESP,2003-01-01,25049.421559,0.027974127676214433
1055,ESP,2004-01-01,26236.904375,0.04740559829707314
1056,ESP,2005-01-01,27696.454929,0.05562967845363431
1057,ESP,2006-01-01,30858.575264,0.11417058042648809
1058,ESP,2007-01-01,32577.620899,0.0557072262829148
1059,ESP,2008-01-01,33441.937903,0.026531004418021364
1060,ESP,2009-01-01,32420.342308,-0.030548337179597262
1061,ESP,2010-01-01,31994.057707,-0.013148676745921017
1062,ESP,2011-01-01,32071.580228,0.002423028729582999
1063,ESP,2012-01-01,31991.051802,-0.0025108967324812825
1064,ESP,2013-01-01,32650.293154,0.020607054625155552
1065,ESP,2014-01-01,33700.083183,0.03215254527879763
1066,ESP,2015-01-01,34740.621376,0.03087642802985413
1067,SWE,1970-01-01,4837.497105,-0.8607538692919895
1068,SWE,1971-01-01,5096.298822,0.053499094962248916
1069,SWE,1972-01-01,5422.548495,0.06401698259757183
1070,SWE,1973-01-01,5933.562356,0.09423868896169285
1071,SWE,1974-01-01,6653.766346,0.12137800983446856
1072,SWE,1975-01-01,7427.38034,0.11626708149513965
1073,SWE,1976-01-01,7889.07695,0.06216143362331161
1074,SWE,1977-01-01,8215.714224,0.041403737860612466
1075,SWE,1978-01-01,8920.620971,0.0857998133553386
1076,SWE,1979-01-01,10004.958822,0.12155407729182399
1077,SWE,1980-01-01,11071.321866,0.10658345156355509
1078,SWE,1981-01-01,12145.408854,0.09701524361770364
1079,SWE,1982-01-01,13052.098366,0.0746528604264638
1080,SWE,1983-01-01,13818.671504,0.05873179288909447
1081,SWE,1984-01-01,14899.883002,0.07824279618247165
1082,SWE,1985-01-01,15684.358804,0.05264979610206999
1083,SWE,1986-01-01,16392.180556,0.04512914814340285
1084,SWE,1987-01-01,17316.259234,0.05637313930523802
1085,SWE,1988-01-01,18298.331513,0.056713881776020436
1086,SWE,1989-01-01,19383.476135,0.05930292722202912
1087,SWE,1990-01-01,20096.026909,0.03676073213273523
1088,SWE,1991-01-01,20388.801219,0.014568765822505991
1089,SWE,1992-01-01,20490.690019,0.004997292332471703
1090,SWE,1993-01-01,20425.42071,-0.0031853153280578805
1091,SWE,1994-01-01,21559.218741,0.05550916414881524
1092,SWE,1995-01-01,22774.748666,0.056380982057034235
1093,SWE,1996-01-01,23606.48128,0.036519946990312135
1094,SWE,1997-01-01,24446.740258,0.03559441866975277
1095,SWE,1998-01-01,25478.217942,0.04219285160779074
1096,SWE,1999-01-01,27148.296097,0.06554925304437909
1097,SWE,2000-01-01,29258.014112,0.07771088128190606
1098,SWE,2001-01-01,29701.864209,0.015170205855425944
1099,SWE,2002-01-01,30587.619496,0.029821538498974398
1100,SWE,2003-01-01,31470.998415,0.028880276842580654
1101,SWE,2004-01-01,33551.819536,0.06611868786495911
1102,SWE,2005-01-01,33967.082706,0.012376770492414924
1103,SWE,2006-01-01,37439.858268,0.1022394414044443
1104,SWE,2007-01-01,40563.801227,0.08343896327380196
1105,SWE,2008-01-01,41853.864918,0.0318033234553301
1106,SWE,2009-01-01,39693.391192,-0.0516194556997972
1107,SWE,2010-01-01,41667.946173,0.04974518230122782
1108,SWE,2011-01-01,43755.122868,0.05009070248709424
1109,SWE,2012-01-01,44724.851251,0.022162625069651165
1110,SWE,2013-01-01,45714.355131,0.022124252005821354
1111,SWE,2014-01-01,46445.822135,0.0160008164154104
1112,SWE,2015-01-01,47861.896685,0.03048873902767868
1113,CHE,1970-01-01,7137.486676,-0.8508733006764251
1114,CHE,1971-01-01,7711.681141,0.08044771094715242
1115,CHE,1972-01-01,8227.706136,0.06691472139019039
1116,CHE,1973-01-01,8884.85132,0.07986979276334227
1117,CHE,1974-01-01,9795.196031,0.10246032018012419
1118,CHE,1975-01-01,10010.405838,0.021970954569862755
1119,CHE,1976-01-01,10527.063008,0.051612010378115025
1120,CHE,1977-01-01,11482.757807,0.09078456149390624
1121,CHE,1978-01-01,12307.808775,0.07185129059301776
1122,CHE,1979-01-01,13616.60678,0.1063388316252094
1123,CHE,1980-01-01,15444.14335,0.13421380227299196
1124,CHE,1981-01-01,17039.195896,0.10327879700754017
1125,CHE,1982-01-01,17754.179876,0.04196113386828548
1126,CHE,1983-01-01,18530.893748,0.04374822590650651
1127,CHE,1984-01-01,19695.278416,0.06283478195031322
1128,CHE,1985-01-01,20981.258689,0.06529383570202785
1129,CHE,1986-01-01,21670.988171,0.032873598873341736
1130,CHE,1987-01-01,22419.101068,0.034521402120514244
1131,CHE,1988-01-01,23775.83573,0.06051690734097015
1132,CHE,1989-01-01,25572.535022,0.07556829179017899
1133,CHE,1990-01-01,27196.693514,0.06351182980501302
1134,CHE,1991-01-01,27505.39121,0.011350559796583282
1135,CHE,1992-01-01,27864.904052,0.013070631835597979
1136,CHE,1993-01-01,28305.377502,0.015807463366032337
1137,CHE,1994-01-01,29075.146671,0.027195156430809275
1138,CHE,1995-01-01,29577.904857,0.01729168185079044
1139,CHE,1996-01-01,30248.77033,0.022681304718620954
1140,CHE,1997-01-01,31526.248653,0.04223240512137538
1141,CHE,1998-01-01,32599.232489,0.034034618194191735
